date,ABLH_h00,ABLH_h01,ABLH_h02,ABLH_h03,ABLH_h04,ABLH_h05,ABLH_h06,ABLH_h07,ABLH_h08,ABLH_h09,ABLH_h10,ABLH_h11,ABLH_h12,ABLH_h13,ABLH_h14,ABLH_h15,ABLH_h16,ABLH_h17,ABLH_h18,ABLH_h19,ABLH_h20,ABLH_h21,ABLH_h22,ABLH_h23,AQI,PM2.5,PM10,NO2,SO2,CO
2024-03-02,151.25377,572.8286,870.7949,1023.667,1153.98,1369.3398,1534.7407,1638.4292,1542.5295,173.0134,112.26274,106.49667,140.55107,157.57205,163.07726,141.05363,104.54082,87.84906,81.82666,70.82045,63.623123,61.26291,56.353836,55.937622,154,63,7,0.51,35,63.0
2024-03-03,88.41467,180.71336,414.05273,872.77783,1195.8762,1297.6279,1253.6399,1129.2258,935.65186,523.64136,332.03418,316.13745,316.1853,320.15405,338.4336,359.56958,369.99194,364.9734,326.9619,287.14258,275.1643,267.2046,254.66728,272.6057,206,74,7,0.69,29,78.0
2024-03-04,294.6897,321.1223,307.01123,312.35938,316.30615,352.1399,422.12183,339.7151,186.13348,124.11983,98.93268,88.871506,77.03613,69.93349,66.2079,57.618103,46.693466,24.451096,36.45363,57.229523,85.61246,119.829666,133.58487,202.52716,113,51,6,0.65,23,79.0
2024-03-05,292.50073,327.12622,325.49414,337.36816,396.54126,453.2412,508.4829,535.8064,562.29565,566.31616,545.0703,522.3386,525.19824,552.7771,553.2688,575.52295,619.65283,633.10034,634.7573,632.5818,639.541,649.91016,587.30273,587.22266,24,25,5,0.8,33,24.0
2024-03-06,604.48315,608.74243,619.0315,679.86694,794.2178,927.41235,1073.7422,1151.8586,1161.0383,1117.905,629.80176,487.92236,396.05078,329.4065,274.69824,231.58246,244.92136,261.2351,219.1515,169.91626,168.1306,171.68533,111.0341,89.97693,142,59,6,0.78,31,58.0
2024-03-07,228.55597,398.0559,642.824,881.6885,1028.4719,1126.0435,1241.8689,1254.4062,1051.3484,647.92065,55.741592,32.920837,30.187393,27.316238,36.48091,85.18689,223.93317,418.53198,553.5764,664.67236,647.636,602.3042,361.28247,429.84058,149,73,8,0.92,32,77.0
2024-03-08,602.6387,734.2173,942.6621,1195.2878,1444.4443,1745.0935,1847.7593,1814.6648,1813.5615,1329.8596,191.6863,75.92853,57.76216,69.25667,80.48114,88.400116,87.54428,82.58148,65.85039,40.15622,31.036133,46.307404,59.397934,85.46925,288,100,7,0.83,29,82.0
2024-03-09,221.02644,462.92334,834.6714,1298.6758,1481.2495,1498.2334,1464.9336,1370.8604,1331.0283,1028.9963,222.23909,281.90527,330.45215,342.1311,344.84766,348.67847,332.10352,300.8181,239.23827,199.47191,174.65514,170.46324,167.42548,259.96094,243,83,7,0.73,33,89.0
2024-03-10,426.67896,555.78125,673.32544,768.0532,818.58545,844.18164,830.58545,760.2866,634.6909,488.8672,342.0974,320.04565,316.02173,310.3667,313.54297,324.12573,310.22754,285.4563,276.3794,261.97217,249.55876,231.5492,220.56157,209.99992,120,63,7,0.62,22,98.0
2024-03-11,222.74605,192.80836,209.47026,207.89223,272.5564,468.0315,825.3523,1252.7964,1373.3909,943.3086,40.684708,40.82451,50.503876,61.18071,71.785,76.207794,76.30412,77.96808,78.28851,76.277145,71.12009,65.19307,47.364014,62.803146,127,66,7,0.77,46,56.0
2024-03-12,212.13753,420.50806,751.855,1030.5854,1264.1619,1372.0764,1749.5281,1502.9155,1212.7524,949.5979,630.3794,490.75146,404.11597,331.71436,271.26636,216.84106,152.81741,108.119,93.24394,67.76056,69.501236,67.365555,72.29265,110.457596,209,90,7,0.87,51,58.0
2024-03-13,264.79883,376.91577,509.12085,620.57544,685.1196,684.6001,636.21094,585.4226,459.76636,341.58643,230.93057,189.7627,160.84088,143.82823,112.42296,71.2549,53.553665,43.867065,39.20819,28.296265,26.804413,30.969193,40.102753,44.10115,60,45,7,0.6,31,75.0
2024-03-14,77.48689,110.53215,140.17908,191.54056,302.2085,377.15796,387.46777,395.20068,371.4912,293.41528,135.50037,142.92522,132.21848,117.952774,103.65964,87.30263,75.758255,61.883026,52.930283,48.1799,53.46341,58.855118,73.91754,109.60043,127,71,8,0.56,59,30.0
2024-03-15,140.83095,216.44525,368.04688,579.93945,732.699,794.12866,788.33813,715.91064,582.34033,456.12036,376.28687,355.05054,368.9253,392.4192,391.4541,373.7671,341.98486,319.364,286.5022,258.36255,220.0513,189.64117,151.37534,137.16328,99,64,8,0.57,48,54.0
2024-03-16,196.84233,312.19604,484.31348,721.9453,813.6189,926.0381,1028.0876,1061.9021,734.25073,325.802,34.32492,26.16008,19.700745,18.24556,24.79869,25.320587,20.698944,25.075165,38.929443,77.053604,126.09123,145.31694,149.07985,159.80142,68,45,6,0.5,25,79.0
2024-03-17,217.11725,312.1499,497.99023,739.61255,791.82886,764.43677,737.5703,645.7478,562.71704,539.3474,593.7102,640.1643,646.27637,616.53784,598.17017,583.1001,565.095,559.6111,521.39966,465.65845,435.60815,397.7251,265.66113,417.09863,129,64,6,0.65,33,48.0
